image,image_patch,mask_patch,label,fold,ela,data_root
1,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
1,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
1,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
1,3.png,,0,-1,3_ela.jpg,COVERAGE/image_patch_64
1,4.png,,0,-1,4_ela.jpg,COVERAGE/image_patch_64
10,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
10,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
10,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
100,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
100,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
100,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
100,3.png,,0,-1,3_ela.jpg,COVERAGE/image_patch_64
100,4.png,,0,-1,4_ela.jpg,COVERAGE/image_patch_64
100,5.png,,0,-1,5_ela.jpg,COVERAGE/image_patch_64
100,6.png,,0,-1,6_ela.jpg,COVERAGE/image_patch_64
100,7.png,,0,-1,7_ela.jpg,COVERAGE/image_patch_64
11,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
11,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
11,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
11,3.png,,0,-1,3_ela.jpg,COVERAGE/image_patch_64
11,4.png,,0,-1,4_ela.jpg,COVERAGE/image_patch_64
11,5.png,,0,-1,5_ela.jpg,COVERAGE/image_patch_64
11,6.png,,0,-1,6_ela.jpg,COVERAGE/image_patch_64
11,7.png,,0,-1,7_ela.jpg,COVERAGE/image_patch_64
11,8.png,,0,-1,8_ela.jpg,COVERAGE/image_patch_64
11,9.png,,0,-1,9_ela.jpg,COVERAGE/image_patch_64
12,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
12,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
12,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
12,3.png,,0,-1,3_ela.jpg,COVERAGE/image_patch_64
12,4.png,,0,-1,4_ela.jpg,COVERAGE/image_patch_64
12,5.png,,0,-1,5_ela.jpg,COVERAGE/image_patch_64
12,6.png,,0,-1,6_ela.jpg,COVERAGE/image_patch_64
12,7.png,,0,-1,7_ela.jpg,COVERAGE/image_patch_64
12,8.png,,0,-1,8_ela.jpg,COVERAGE/image_patch_64
12,9.png,,0,-1,9_ela.jpg,COVERAGE/image_patch_64
13,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
13,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
13,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
13,3.png,,0,-1,3_ela.jpg,COVERAGE/image_patch_64
13,4.png,,0,-1,4_ela.jpg,COVERAGE/image_patch_64
13,5.png,,0,-1,5_ela.jpg,COVERAGE/image_patch_64
13,6.png,,0,-1,6_ela.jpg,COVERAGE/image_patch_64
14,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
14,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
14,2.png,,0,-1,2_ela.jpg,COVERAGE/image_patch_64
14,3.png,,0,-1,3_ela.jpg,COVERAGE/image_patch_64
15,0.png,,0,-1,0_ela.jpg,COVERAGE/image_patch_64
15,1.png,,0,-1,1_ela.jpg,COVERAGE/image_patch_64
